"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
15,"HB","HB_DeepHole_20190802_825_Hypo_3.5_Limno.Sample.20160505",2019-08-02,"PON",148,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190802_825_PML_0.5_Limno.Sample.20160505",2019-08-02,"PON",94,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190814_1037_Hypo_4.5_Limno.Sample.20160505",2019-08-14,"PON",151,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190814_1037_PML_1_Limno.Sample.20160505",2019-08-14,"PON",87,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20191006_1047_Hypo_8_Limno.Sample.20160505",2019-10-06,"PON",86,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20191006_1047_PML_4_Limno.Sample.20160505",2019-10-06,"PON",100,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_Outlet_20190520_1240_Surface_0_Limno.Sample.20160505",2019-05-20,"PON",80,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_Outlet_20190607_1112_Surface_0_Limno.Sample.20160505",2019-06-07,"PON",93,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"HB","HB_Outlet_20190621_940_Surface_0_Limno.Sample.20160505",2019-06-21,"PON",82,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_Outlet_20190701_840_Surface_0_Limno.Sample.20160505",2019-07-01,"PON",73,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"HB","HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505",2019-07-19,"PON",173,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_Outlet_20190803_1345_Surface_0_Limno.Sample.20160505",2019-08-03,"PON",446,NA,1,"C: much higher than normal, N and C elevated, maybe ok N: much higher than normal, N and C elevated, maybe ok ","Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505",2019-08-14,"PON",329,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_Outlet_20191006_1047_Surface_0_Limno.Sample.20160505",2019-10-06,"PON",569,NA,1,"C: much higher than normal, N and C elevated, maybe ok N: much higher than normal, N and C elevated, maybe ok ","Iso.POC.CEST.20111214","pocForBella.20200312"
37,"HT","HT_DeepHole_20190820_1335_Surface_0_fishScapesLimno.20190319",2019-08-20,"PON",171,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"ID","ID_DeepHole_20190820_1435_Surface_0_fishScapesLimno.20190319",2019-08-20,"PON",117,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"IV","IV_DeepHole_20190819_1305_Surface_0_fishScapesLimno.20190319",2019-08-19,"PON",103,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
34,"JS","JS_DeepHole_20190807_1350_Hypo_7_Limno.Sample.20160505",2019-08-07,"PON",278,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
