"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
3,"FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-08-11,2020-08-11 10:45:00,"PML",0,1,15.6504930049946,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-08-11,2020-08-11 10:45:00,"PML",0,1,14.6243762739464,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-08-11,2020-08-11 10:45:00,"Hypo",8,8,17.7850154027942,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-08-11,2020-08-11 10:45:00,"Hypo",8,8,18.716256598264,"NA",2,"NA",NA,"NA","NA"
3,"FE_PML_20200811_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-08-11,2020-08-11 10:45:00,"Surface",0,0,80.7195939997907,"NA",1,"NA",NA,"NA","NA"
3,"FE_PML_20200811_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-08-11,2020-08-11 10:45:00,"Surface",0,0,80.6200164853866,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505","WL","DeepHole",2020-08-11,2020-08-11 09:48:00,"PML",0,1.5,7.11511133119061,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505","WL","DeepHole",2020-08-11,2020-08-11 09:48:00,"PML",0,1.5,7.18060543623903,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-08-11,2020-08-11 09:48:00,"Hypo",8,8,6.80442527203249,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-08-11,2020-08-11 09:48:00,"Hypo",8,8,7.30258587328089,"NA",2,"NA",NA,"NA","NA"
17,"BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505","BO","DeepHole",2020-08-12,2020-08-12 10:55:00,"PML",0,0,18.9085620224619,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"PML",0,1,6.78049170787957,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"Hypo",8,8,18.1708722271733,"NA",2,"NA",NA,"NA","NA"
17,"BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505","BO","DeepHole",2020-08-12,2020-08-12 10:55:00,"Hypo",2,2,21.6978210164419,"NA",2,"NA",NA,"NA","NA"
17,"CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-08-12,2020-08-12 09:15:00,"PML",0,0.5,18.0377474873045,"NA",1,"NA",NA,"NA","NA"
17,"CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-08-12,2020-08-12 09:15:00,"PML",0,0.5,15.5666410582451,"NA",2,"NA",NA,"NA","NA"
17,"CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-08-12,2020-08-12 09:15:00,"Hypo",3,3,21.4240567451265,"NA",1,"NA",NA,"NA","NA"
17,"CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-08-12,2020-08-12 09:15:00,"Hypo",3,3,20.9662174345086,"NA",2,"NA",NA,"NA","NA"
17,"NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505","NG","DeepHole",2020-08-14,2020-08-14 10:00:00,"PML",0,0,28.7622482005325,"NA",2,"NA",NA,"NA","NA"
17,"NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505","NG","DeepHole",2020-08-14,2020-08-14 10:00:00,"Hypo",3.5,3.5,42.5415024054529,"NA",2,"NA",NA,"NA","NA"
17,"WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505","WA","DeepHole",2020-08-14,2020-08-14 11:15:00,"PML",0,0.5,10.2860303464707,"NA",2,"NA",NA,"NA","NA"
17,"WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505","WA","DeepHole",2020-08-14,2020-08-14 11:15:00,"Hypo",4,4,10.7225711347718,"NA",2,"NA",NA,"NA","NA"
