"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"15","HB","HB_Outlet","HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505",2020-06-24,2020-06-24 10:53:00,"Surface",0,0,"RN and CS","Mostly cloudy","Deck PAR 480.4 and staff underwater height estimated","Color.20110601","samplecolor.20210505"
"15","HB","HB_Outlet","HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505",2020-07-08,2020-07-08 09:45:00,"Surface",0,0,"RN and CS","hazy hot","Deck PAR 802.6 no DO because sensor not calibrating","Color.20110601","samplecolor.20210505"
"15","HB","HB_Outlet","HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505",2020-08-05,2020-08-05 08:55:00,"Surface",0,0,"RN and CS","sunny","Deck PAR 1061.2 and bottom at 7.5m","Color.20110601","samplecolor.20210505"
"15","HB","HB_Outlet","HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505",2020-08-18,2020-08-18 09:50:00,"Surface",0,0,"RN","sunny clear","Deck PAR 1537.3","Color.20110601","samplecolor.20210505"
"41","JO","JO_DeepHole","JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505",2020-07-16,2020-07-16 11:20:00,"Hypo",4.5,4.5,NA,NA,NA,"Color.20110601","samplecolor.20210505"
"41","JO","JO_DeepHole","JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505",2020-07-16,2020-07-16 11:20:00,"PML",0,2,NA,NA,NA,"Color.20110601","samplecolor.20210505"
"41","JO","JO_DeepHole","JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505",2020-09-01,2020-09-01 08:55:00,"Hypo",4.5,4.5,"BB and CM","partly cloudy and 60 degrees","Deck PAR 1062.2","Color.20110601","samplecolor.20210505"
"41","JO","JO_DeepHole","JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505",2020-09-01,2020-09-01 08:55:00,"PML",0,3,"BB and CM","partly cloudy and 60 degrees","Deck PAR 1062.2","Color.20110601","samplecolor.20210505"
"17","ME","ME_DeepHole","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505",2020-06-10,2020-06-10 09:36:00,"Hypo",3.5,3.5,"RN and CS","full cloud cover","Deck PAR 183.09 forgot the ME staff gauge","Color.20110601","samplecolor.20210505"
"17","ME","ME_DeepHole","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505",2020-06-10,2020-06-10 09:36:00,"PML",0,1,"RN and CS","full cloud cover","Deck PAR 183.09 forgot the ME staff gauge","Color.20110601","samplecolor.20210505"
"17","ME","ME_DeepHole","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505",2020-06-24,2020-06-24 08:52:00,"Hypo",3,3,"Rn and CS","partly cloudy","Deck PAR 561.3","Color.20110601","samplecolor.20210505"
"17","ME","ME_DeepHole","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505",2020-06-24,2020-06-24 08:52:00,"PML",0,1.5,"Rn and CS","partly cloudy","Deck PAR 561.3","Color.20110601","samplecolor.20210505"
"17","ME","ME_DeepHole","ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505",2020-08-20,2020-08-20 10:54:00,"Hypo",3.5,3.5,"RN and CO","full cloud","Deck PAR 243.0","Color.20110601","samplecolor.20210505"
"17","ME","ME_DeepHole","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505",2020-08-20,2020-08-20 10:54:00,"PML",0,2,"RN and CO","full cloud","Deck PAR 243.0","Color.20110601","samplecolor.20210505"
"17","ME","ME_Outlet","ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505",2020-06-10,2020-06-10 09:36:00,"Surface",0,0,"RN and CS","full cloud cover","Deck PAR 183.09 forgot the ME staff gauge","Color.20110601","samplecolor.20210505"
"17","ME","ME_Outlet","ME_Outlet_20200624_0852_Surface_0_Limno.Sample.20160505",2020-06-24,2020-06-24 08:52:00,"Surface",0,0,"Rn and CS","partly cloudy","Deck PAR 561.3","Color.20110601","samplecolor.20210505"
"17","ME","ME_Outlet","ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505",2020-08-20,2020-08-20 10:54:00,"Surface",0,0,"RN and CO","full cloud","Deck PAR 243.0","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505",2020-06-12,2020-06-12 09:25:00,"Hypo",4.5,4.5,"RN and CS","sunny breezy","Deck PAR 1087.0 guide says zps at 8m but hit bottom","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",2020-06-12,2020-06-12 09:25:00,"PML",0,1.5,"RN and CS","sunny breezy","Deck PAR 1087.0 guide says zps at 8m but hit bottom","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505",2020-06-22,2020-06-22 09:05:00,"Hypo",7,7,"RN and CS","mostly cloudy","Deck PAR 648.7","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505",2020-06-22,2020-06-22 09:05:00,"PML",0,3.5,"RN and CS","mostly cloudy","Deck PAR 648.7","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505",2020-07-06,2020-07-06 09:01:00,"Hypo",3.5,3.5,"RN and CS","sunny sticky sauna ","Deck PAR 799.0","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505",2020-07-06,2020-07-06 09:01:00,"PML",0,0.5,"RN and CS","sunny sticky sauna ","Deck PAR 799.0","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",2020-07-20,2020-07-20 09:00:00,"Hypo",4,4,"RN and CS","sunny and windy ","Deck PAR 1272.0 and DO not calibrating","Color.20110601","samplecolor.20210505"
"15","MO","MO_DeepHole","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",2020-07-20,2020-07-20 09:00:00,"PML",0,1,"RN and CS","sunny and windy ","Deck PAR 1272.0 and DO not calibrating","Color.20110601","samplecolor.20210505"
