docID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,replicate,comments,sampleID
D171,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,1,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
D172,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,2,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
D173,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,1,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
D174,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,2,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
D175,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,1,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
D176,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,2,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
D177,15,HB,Outlet,7/8/2020,9:45,Surface,0,0,1,,HB_PML_20200708_0945_Surface_0_Limno.Sample.20160505
D178,15,HB,Outlet,7/8/2020,9:45,Surface,0,0,2,,HB_PML_20200708_0945_Surface_0_Limno.Sample.20160505
D179,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,1,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
D180,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,2,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
D181,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,1,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
D182,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,2,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
D183,15,CR,Outlet,7/10/2020,10:25,Surface,0,0,1,,CR_PML_20200710_1025_Surface_0_Limno.Sample.20160505
D184,15,CR,Outlet,7/10/2020,10:25,Surface,0,0,2,,CR_PML_20200710_1025_Surface_0_Limno.Sample.20160505
D185,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,1,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
D186,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,2,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
D187,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,1,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
D188,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,2,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
D189,3,FE,Inlet1,7/15/2020,10:15,Surface,0,0,1,,FE_PML_20200715_1015_Surface_0_Limno.Sample.20160505
D190,3,FE,Inlet1,7/15/2020,10:15,Surface,0,0,2,,FE_PML_20200715_1015_Surface_0_Limno.Sample.20160505
D191,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,1,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
D192,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,2,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
